model	accuracy	EER
ResNet	0.8837209343910217	0.09854874584333502
PPG 4	0.6280417149478563	0.3545525116166399
PPG 8	0.6303592120509849	0.32203693100486686
PPG 10	0.7358053302433372	0.27226155607919134
PPG 12	0.7659327925840093	0.23874397145940232
PPG 16	0.7288528389339514	0.27226155607919134
PLP 4	0.7508690614136733	0.24449723623070316
PLP 8	0.746234067207416	0.22011055077187341
PLP 10	0.7392815758980301	0.23061507630645908
PLP 12	0.7450753186558516	0.2363683410777599
PLP 16	0.7056778679026651	0.22586381554317425
LTAS 4	0.6546929316338355	0.37893919707546964
LTAS 8	0.6361529548088065	0.34879924684533903
LTAS 10	0.6558516801853997	0.3105304014622652
LTAS 12	0.6210892236384704	0.3603057763879407
LTAS 16	0.5712630359212051	0.37318593230416874
